groupID;featureID;featureID.1;groupID.1;gene;transcript
ENSMUSG00000000290;ENSMUST00000000299;ENSMUST00000000299.14;ENSMUSG00000000290.14;1,80E+07;0
ENSMUSG00000000290;ENSMUST00000156644;ENSMUST00000156644.8;ENSMUSG00000000290.14;1,80E+07;0
ENSMUSG00000000355;ENSMUST00000000365;ENSMUST00000000365.3;ENSMUSG00000000355.14;0;0
ENSMUSG00000000355;ENSMUST00000133128;ENSMUST00000133128.8;ENSMUSG00000000355.14;0;0
ENSMUSG00000000732;ENSMUST00000105393;ENSMUST00000105393.3;ENSMUSG00000000732.10;0.0403342114448652;0
ENSMUSG00000000732;ENSMUST00000219633;ENSMUST00000219633.2;ENSMUSG00000000732.10;0.0403342114448652;0
ENSMUSG00000000740;ENSMUST00000000756;ENSMUST00000000756.6;ENSMUSG00000000740.13;0;2,54E-158
ENSMUSG00000000740;ENSMUST00000129311;ENSMUST00000129311.2;ENSMUSG00000000740.13;0;1,01E-106
ENSMUSG00000000740;ENSMUST00000212887;ENSMUST00000212887.2;ENSMUSG00000000740.13;0;1,36E-52
ENSMUSG00000001020;ENSMUST00000001046;ENSMUST00000001046.7;ENSMUSG00000001020.9;0;0
ENSMUSG00000001020;ENSMUST00000142476;ENSMUST00000142476.2;ENSMUSG00000001020.9;0;0
ENSMUSG00000001025;ENSMUST00000001051;ENSMUST00000001051.9;ENSMUSG00000001025.9;0;0
ENSMUSG00000001025;ENSMUST00000198128;ENSMUST00000198128.2;ENSMUSG00000001025.9;0;0
ENSMUSG00000001289;ENSMUST00000001335;ENSMUST00000001335.7;ENSMUSG00000001289.13;1,16E+02;0
ENSMUSG00000001289;ENSMUST00000165671;ENSMUST00000165671.8;ENSMUSG00000001289.13;1,16E+02;0
ENSMUSG00000001687;ENSMUST00000079324;ENSMUST00000079324.14;ENSMUSG00000001687.16;0;0
ENSMUSG00000001687;ENSMUST00000201139;ENSMUST00000201139.4;ENSMUSG00000001687.16;0;0
ENSMUSG00000001750;ENSMUST00000126070;ENSMUST00000126070.9;ENSMUSG00000001750.17;0.0494605918130028;0.0382853220932733
ENSMUSG00000001794;ENSMUST00000108196;ENSMUST00000108196.8;ENSMUSG00000001794.14;8,83E+08;0.00102785840777913
ENSMUSG00000001794;ENSMUST00000126116;ENSMUST00000126116.3;ENSMUSG00000001794.14;8,83E+08;2,53E+08
ENSMUSG00000002014;ENSMUST00000002090;ENSMUST00000002090.3;ENSMUSG00000002014.13;7,84E+03;0.025862434276598
ENSMUSG00000002014;ENSMUST00000130738;ENSMUST00000130738.8;ENSMUSG00000002014.13;7,84E+03;1,85E+03
ENSMUSG00000002014;ENSMUST00000166518;ENSMUST00000166518.8;ENSMUSG00000002014.13;7,84E+03;0.0110246426690434
ENSMUSG00000003072;ENSMUST00000003156;ENSMUST00000003156.15;ENSMUSG00000003072.16;1,15E+04;0.00161387457576183
ENSMUSG00000003072;ENSMUST00000105366;ENSMUST00000105366.2;ENSMUSG00000003072.16;1,15E+04;2,76E+03
